Annotations,Phylum,Class,Order,Family,Genus,Species,Label,Functional Group
Pleurosigma,Heterokontophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,,Pleurosigma,Diatoms
Dactyliosolen_blavyanus,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,Dactyliosolen blavyanus,Dactyliosolen,Diatoms
Dactyliosolen_fragilissimus,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,Dactyliosolen fragilissimus,Dactyliosolen,Diatoms
Thalassionema,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,,Thalassionema,Diatoms
pennate_Thalassionema,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,,Thalassionema,Diatoms
Lauderia_annulata,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Lauderiaceae,Lauderia,Lauderia annulata,Lauderia,Diatoms
Skeletonema,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,,Skeletonema,Diatoms
Nanoneis,Heterokontophyta,Bacillariophyceae,,,Nanoneis,,Nanoneis,Diatoms
pennate,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
pennate_morphotype1,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
Bacillaria,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,,Bacillaria,Diatoms
Bacteriastrum,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,,Bacteriastrum,Diatoms
Asterionellopsis_glacialis,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,Asterionellopsis,Diatoms
Hemiaulus_membranaceus,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,Hemiaulus membranaceus,Hemiaulus,Diatoms
Hemiaulus,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,,Hemiaulus,Diatoms
Licmophora,Heterokontophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,,Licmophora,Diatoms
Stephanopyxis,Heterokontophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,,Stephanopyxis,Diatoms
Delphineis,Heterokontophyta,Bacillariophyceae,Rhaponeidales,Rhaphoneidaceae,Delphineis,,Delphineis,Diatoms
Rhizosolenia,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,Rhizosolenia,Diatoms
Thalassiosira,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,Thalassiosira,Diatoms
Thalassiosira_sp_aff_mala,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,,Thalassiosira,Diatoms
Bacillariophyceae,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
Bacillariophyceae_morphotype1,Heterokontophyta,Bacillariophyceae,,,,,unknown Bacillariophyceae,Diatoms
Dinophysis_acuminata,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis acuminata,Dinophysis,Dinoflagellates 
Dinophysis_norvegica,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis norvegica,Dinophysis,Dinoflagellates 
Dinophysis_tripos,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis,Dinophysis tripos,Dinophysis,Dinoflagellates 
Gonyaulax,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,,Gonyaulax,Dinoflagellates 
Margalefidinium,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,,Margalefidinium,Dinoflagellates 
Gyrodinium,Myzozoa,Dinophyceae,Gymnodiniales,Gyrodiniaceae,Gyrodinium,,Gyrodinium,Dinoflagellates 
Proterythropsis,Myzozoa,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,,Proterythropsis,Dinoflagellates 
Kryptoperidinium_triquetrum,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Kryptoperidinium,Kryptoperidinium triquetrum,Kryptoperidinium,Dinoflagellates 
Prorocentrum_dentatum,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum dentatum,Prorocentrum,Dinoflagellates 
Prorocentrum_micans,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,Prorocentrum,Dinoflagellates 
Prorocentrum_triestinum,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum,Prorocentrum,Dinoflagellates 
Prorocentrum,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,,Prorocentrum,Dinoflagellates 
Dinophyceae,Myzozoa,Dinophyceae,,,,,unknown Dinophyceae,Dinoflagellates 
Tripos_furca,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos furca,Tripos,Dinoflagellates 
Tripos_fusus,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos fusus,Tripos,Dinoflagellates 
Tripos_lineatus,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos lineatus,Tripos,Dinoflagellates 
